,precursor_name,updated_precursor_name
1432,PI(14:0_18:1),PI(14:0_18:1)
1433,PI(14:0_18:2),PI(14:0_18:2)
1434,PI(14:0_18:3),PI(14:0_18:3)
1435,PI(14:0_20:0),PI(14:0_20:0)
1436,PI(14:0_20:1),PI(14:0_20:1)
1437,PI(14:0_20:2),PI(14:0_20:2)
1438,PI(14:0_20:3),PI(14:0_20:3)
1439,PI(14:0_20:4),PI(14:0_20:4)
1440,PI(14:0_20:5),PI(14:0_20:5)
1441,PI(14:0_22:4),PI(14:0_22:4)
1442,PI(14:0_22:5),PI(14:0_22:5)
1443,PI(14:0_22:6),PI(14:0_22:6)
1444,PI(15:0_16:0),PI(15:0_16:0)
1445,PI(15:0_16:1),PI(15:0_16:1)
1446,PI(15:0_17:0),PI(15:0_17:0)
1447,PI(15:0_18:0),PI(15:0_18:0)
1448,PI(15:0_18:1),PI(15:0_18:1)
1449,PI(15:0_18:2),PI(15:0_18:2)
1450,PI(15:0_18:3),PI(15:0_18:3)
1451,PI(15:0_19:0),PI(15:0_19:0)
1452,PI(15:0_20:0),PI(15:0_20:0)
1453,PI(15:0_20:1),PI(15:0_20:1)
1454,PI(15:0_20:2),PI(15:0_20:2)
1455,PI(15:0_20:3),PI(15:0_20:3)
1456,PI(15:0_20:4),PI(15:0_20:4)
1457,PI(15:0_20:5),PI(15:0_20:5)
1458,PI(15:0_22:4),PI(15:0_22:4)
1459,PI(15:0_22:5),PI(15:0_22:5)
1460,PI(15:0_22:6),PI(15:0_22:6)
1461,PI(16:0_14:0),PI(16:0_14:0)
1462,PI(16:0_16:0),PI(16:0_16:0)
1463,PI(16:0_16:1),PI(16:0_16:1)
1464,PI(16:0_17:0),PI(16:0_17:0)
1465,PI(16:0_18:0),PI(16:0_18:0)
1466,PI(16:0_18:1),PI(16:0_18:1)
1467,PI(16:0_18:2),PI(16:0_18:2)
1468,PI(16:0_18:3),PI(16:0_18:3)
1469,PI(16:0_20:0),PI(16:0_20:0)
1470,PI(16:0_20:1),PI(16:0_20:1)
1471,PI(16:0_20:2),PI(16:0_20:2)
1472,PI(16:0_20:3),PI(16:0_20:3)
1473,PI(16:0_20:4),PI(16:0_20:4)
1474,PI(16:0_20:5),PI(16:0_20:5)
1475,PI(16:0_22:4),PI(16:0_22:4)
1476,PI(16:0_22:5),PI(16:0_22:5)
1477,PI(16:0_22:6),PI(16:0_22:6)
1478,PI(16:1_17:0),PI(16:1_17:0)
1479,PI(16:1_18:0),PI(16:1_18:0)
1480,PI(16:1_18:1),PI(16:1_18:1)
1481,PI(16:1_18:2),PI(16:1_18:2)
1482,PI(16:1_19:0),PI(16:1_19:0)
1483,PI(16:1_20:0),PI(16:1_20:0)
1484,PI(16:1_20:1),PI(16:1_20:1)
1485,PI(16:1_20:2),PI(16:1_20:2)
1486,PI(16:1_20:3),PI(16:1_20:3)
